No,Jenis Bencana,Pertanyaan
36,Gempa Bumi,Apa yang harus dilakukan saat gempa bumi terjadi di dalam ruangan?
37,Gempa Bumi,Apa yang harus dilakukan saat gempa bumi terjadi di luar ruangan?
38,Gempa Bumi,Apa yang tidak boleh dilakukan saat gempa bumi?
39,Gempa Bumi,Apa yang harus dilakukan setelah gempa bumi berhenti?
40,Gempa Bumi,Apa itu gempa susulan?
41,Gempa Bumi,Bagaimana cara membantu korban gempa yang terluka?
42,Angin Kencang,Bagaimana cara mempersiapkan diri sebelum bencana angin kencang?
43,Angin Kencang,Apa dampak angin kencang terhadap infrastruktur?
44,Angin Kencang,Apa yang harus dilakukan saat terjadi angin kencang?
45,Angin Kencang,Apa itu angin puting beliung?
46,Angin Kencang,Kapan angin puting beliung sering terjadi di Bogor?
47,Angin Kencang,Apa tanda-tanda akan terjadi angin puting beliung?
48,Angin Kencang,Bagaimana cara mempersiapkan rumah agar tahan angin puting beliung?
49,Angin Kencang,Apa yang harus dilakukan saat terjadi angin puting beliung?
50,Angin Kencang,Apa yang harus dilakukan setelah angin puting beliung?
51,Angin Kencang,Apakah puting beliung bisa terjadi lagi di lokasi yang sama?
52,Erupsi Gunung Api,Apa yang dilakukan pasca bencana erupsi gunung api?
53,Erupsi Gunung Api,Apa bahaya abu vulkanik saat erupsi gunung api?
54,Erupsi Gunung Api,Bagaimana cara mitigasi erupsi gunung api?
55,Erupsi Gunung Api,Gunung berapi apa saja yang ada di sekitar Kabupaten Bogor?
56,Erupsi Gunung Api,Apa itu status gunung berapi dan apa tingkatannya?
57,Erupsi Gunung Api,Apa tanda-tanda gunung berapi akan meletus?
58,Erupsi Gunung Api,Bagaimana cara mempersiapkan diri jika tinggal dekat gunung berapi?
59,Erupsi Gunung Api,Apa yang harus dilakukan saat gunung berapi meletus?
60,Erupsi Gunung Api,Apa yang harus dilakukan saat terjadi hujan abu vulkanik?
61,Erupsi Gunung Api,Bagaimana cara melindungi pernapasan dari abu vulkanik?
62,Erupsi Gunung Api,Apakah abu vulkanik berbahaya bagi kesehatan?
63,Erupsi Gunung Api,Kapan warga boleh kembali ke rumah setelah gunung meletus?
64,Erupsi Gunung Api,Apa itu lahar dingin dan kapan biasanya terjadi?
65,Karhutla,Apa yang harus dilakukan saat terjadi kebakaran hutan dan lahan?
66,Karhutla,Bagaimana cara mencegah penyebaran api saat karhutla?
67,Karhutla,Apa perlengkapan yang dibutuhkan saat terjadi karhutla?
68,Karhutla,Apa penyebab utama kebakaran hutan dan lahan?
69,Karhutla,Bagaimana cara melindungi diri dari asap kebakaran hutan?
70,Karhutla,Apa dampak karhutla bagi kesehatan masyarakat?
71,Karhutla,Bagaimana cara melaporkan kebakaran hutan yang ditemukan?
72,Karhutla,Apa yang harus dilakukan setelah kebakaran hutan padam?
73,Kekeringan,Bagaimana cara menghadapi bencana kekeringan?
74,Kekeringan,Apa sumber air yang bisa dimanfaatkan saat kekeringan?
75,Kekeringan,Bagaimana cara mendapatkan informasi saat terjadi kekeringan?
76,Kekeringan,Apa dampak bencana kekeringan bagi masyarakat?
77,Kekeringan,Bagaimana cara menghemat air saat kekeringan?
78,Kekeringan,Apa yang harus dilakukan petani saat musim kekeringan?
79,Kekeringan,Bagaimana cara mencegah kekeringan di tingkat rumah tangga?
80,Kekeringan,Apa yang dilakukan pemerintah saat terjadi bencana kekeringan?
81,Kekeringan,Apa tanda-tanda awal terjadinya kekeringan?
82,Kekeringan,Bagaimana cara memanen air hujan untuk menghadapi kekeringan?
83,Pergeseran Tanah,Bagaimana cara mitigasi pergeseran tanah?
84,Pergeseran Tanah,Apa dampak pergeseran tanah terhadap infrastruktur?
85,Pergeseran Tanah,Apa yang harus dilakukan saat terjadi pergeseran tanah?
86,Pergeseran Tanah,Apa itu pergeseran tanah?
87,Pergeseran Tanah,Apa tanda-tanda terjadinya pergeseran tanah?
88,Pergeseran Tanah,Apakah pergeseran tanah bisa berkembang menjadi longsor?
89,Pergeseran Tanah,Bagaimana cara memantau pergeseran tanah di sekitar rumah?
90,Pergeseran Tanah,Apa yang dilakukan BPBD saat terjadi pergeseran tanah?
91,Pergeseran Tanah,Bagaimana cara memperkuat bangunan di daerah rawan pergeseran tanah?
92,Pergeseran Tanah,Apa perbedaan pergeseran tanah dan tanah longsor?
93,Umum/BPBD,Apa itu mitigasi bencana?
94,Umum/BPBD,Apa peran BPBD dalam penanggulangan bencana?
95,Umum/BPBD,Apa yang dimaksud dengan kesiapsiagaan bencana?
96,Umum/BPBD,Berapa nomor darurat yang harus dihubungi saat bencana?
97,Umum/BPBD,Apa itu titik kumpul dan apa fungsinya?
98,Umum/BPBD,Apa yang dimaksud dengan jalur evakuasi?
99,Umum/BPBD,Apa saja tahapan pasca bencana?
