source_label,source,relationship,target_label,target
Entitas,PSN,MELIBATKAN,Entitas,sarang nyamuk
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,pakaian
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,baterai cadangan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,masker
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,hujan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,aliran lava
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,gunungapi
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Material Lontaran (Pijar)
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,makanan siap saji
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,bahaya lahar
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Aliran Lava
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,hujan abu
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,lontaran batu (pijar)
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Tingkat Status (Level)
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Gunung Berapi
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Awan Panas
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG)
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,abu vulkanik
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Danau Kawah
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,gas beracun
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Gunung Api
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Lava
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,hujan abu lebat
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,kacamata pelindung
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,www.vsi.esdm.go.id
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,musim hujan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,angin
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Magma
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,pihak berwenang
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Lontaran Batu (Pijar)
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,jalur evakuasi
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,skenario evakuasi
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Lahar Letusan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Gas Beracun
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,aliran lahar
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,KRB II
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,awan panas
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,PVMBG
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,lampu senter
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,obat-obatan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,rantambu
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,mesin kendaraan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Hujan Abu
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,lahar
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Gunung Salak
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,KRB I
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Kabupaten Bogor
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Gunung Gede
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,KRB III
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,Guguran Lava
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,guguran lava
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,uang tunai
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,dukungan logistik
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,atap rumah atau bangunan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,lokasi yang direkomendasikan
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,hujan lumpur panas
Dokumen,Erupsi_Gunung_Api.pdf,MEMBAHAS,Entitas,shelter
Entitas,masker,MELIBATKAN,Entitas,lubang pernafasan
Entitas,hujan,TERJADI_DI,Entitas,wilayah aliran sungai
Entitas,hujan,MEMBUTUHKAN,Entitas,waspada
Entitas,aliran lava,TERJADI_DI,Entitas,daerah hulu
Entitas,gunungapi,MEMICU,Entitas,abu vulkanik
Entitas,Material Lontaran (Pijar),TERJADI_SAAT,Entitas,Letusan Magmatic
Entitas,bahaya lahar,MELIBATKAN,Entitas,wilayah aliran sungai
Entitas,lontaran batu (pijar),TERJADI_DI,Entitas,KRB I
Entitas,lontaran batu (pijar),TERJADI_DI,Entitas,Kawasan rawan
Entitas,Tingkat Status (Level),MENYEBUT,Entitas,Awas
Entitas,Tingkat Status (Level),MENYEBUT,Entitas,Siaga
Entitas,Tingkat Status (Level),MENYEBUT,Entitas,Siap
Entitas,Tingkat Status (Level),MENYEBUT,Entitas,Normal
Entitas,Gunung Berapi,MEMILIKI,Entitas,Danau Kawah
Entitas,Awan Panas,MELIBATKAN,Entitas,Material Vulkanik Panas
Entitas,Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG),DIKELOLA_OLEH,Entitas,Geologi
Entitas,abu vulkanik,BERDAMPAK_PADA,Entitas,atap rumah atau bangunan
Entitas,abu vulkanik,MENGHARUSKAN,Entitas,mengurangi terpapar
Entitas,gas beracun,TERJADI_DI,Entitas,daerah hulu
Entitas,Gunung Api,TERJADI_DI,Entitas,Kabupaten Bogor
Entitas,Lava,ADALAH_BAGIAN_DARI,Entitas,Magma
Entitas,hujan abu lebat,TERJADI_DI,Entitas,Kawasan rawan
Entitas,www.vsi.esdm.go.id,MENYEDIAKAN,Entitas,Informasi terkait gunungapi
Entitas,angin,MELIBATKAN,Entitas,kebakaran hutan
Entitas,Magma,ADALAH_BAGIAN_DARI,Entitas,Awan Panas
Entitas,pihak berwenang,MENGHASILKAN,Entitas,jalur evakuasi
Entitas,pihak berwenang,MENGHASILKAN,Entitas,shelter
Entitas,pihak berwenang,DIKELOLA_OLEH,Entitas,polisi
Entitas,pihak berwenang,DIKELOLA_OLEH,Entitas,petugas penyelamat
Entitas,pihak berwenang,DIKELOLA_OLEH,Entitas,pemerintah daerah
Entitas,skenario evakuasi,MENGHARUSKAN,Entitas,dukungan logistik
Entitas,Lahar Letusan,TERJADI_DI,Entitas,Gunung Berapi
Entitas,Gas Beracun,MELIBATKAN,Entitas,Gas Vulkanik
Entitas,aliran lahar,TERJADI_DI,Entitas,daerah hulu
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Aliran Lava
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Awan Panas
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Lontaran Batu (Pijar)
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Gas Beracun
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Guguran Lava
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Hujan Abu Lebat
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Hujan Lumpur Panas
Entitas,KRB II,BERDAMPAK_PADA,Entitas,Aliran Lahar
Entitas,awan panas,TERJADI_DI,Entitas,daerah hulu
Entitas,PVMBG,MENYARANKAN,Entitas,siapkan masker dan kacamata pelindung
Entitas,rantambu,MENYIMPAI,Entitas,ancaman erupsi gunungapi
Entitas,mesin kendaraan,MENCEGAH,Entitas,merusak
Entitas,Hujan Abu,TERJADI_SAAT,Entitas,Erupsi Gunung Api
Entitas,Gunung Salak,TERJADI_DI,Entitas,Kabupaten Bogor
Entitas,KRB I,BERDAMPAK_PADA,Entitas,hujan abu
Entitas,KRB I,BERDAMPAK_PADA,Entitas,Gas Beracun
Entitas,KRB I,BERDAMPAK_PADA,Entitas,lahar
Entitas,KRB I,BERDAMPAK_PADA,Entitas,air dengan keasaman tinggi
Entitas,Gunung Gede,TERJADI_DI,Entitas,Kabupaten Bogor
Entitas,KRB III,TERJADI_DI,Entitas,Daerah Puncak dan Sekitar
Entitas,KRB III,BERDAMPAK_PADA,Entitas,Aliran Lava
Entitas,KRB III,BERDAMPAK_PADA,Entitas,Awan Panas
Entitas,KRB III,BERDAMPAK_PADA,Entitas,Lontaran Batu (Pijar)
Entitas,KRB III,BERDAMPAK_PADA,Entitas,Gas Beracun
Entitas,KRB III,BERDAMPAK_PADA,Entitas,Guguran Lava
Entitas,guguran lava,TERJADI_DI,Entitas,daerah hulu
Entitas,dukungan logistik,MELIBATKAN,Entitas,"makanan siap saji, lampu senter, baterai cadangan, uang tunai, obat-obatan"
Entitas,hujan lumpur panas,TERJADI_DI,Entitas,Kawasan rawan
Entitas,awanan panas,MEMICU,Entitas,perluasan awan panas
Entitas,material jatuhan berupa hujan abu lebat,TERJADI_DI,Entitas,KRB I
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Rumah
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,air
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,dokumen
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,harta
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,rumah
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,mobil
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Fondasi
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,petugas berwenang
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,foto
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Daerah Rawan Gempa Bumi
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,kebakaran
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,lift
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,persimpangan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,pintu
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Jalan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,kepemilikan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,elevator
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,bangunan tinggi
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,instalasi listrik
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,bukit
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,tiang
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Kepemilikan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,helm
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,jendela kaca
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Pemerintah
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,api
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Kedalaman Gempa
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Jembatan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,benda-benda berbahaya
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,pengelola bangunan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,longsor
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Bangunan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,gedung
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,meja
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,tsunami
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,tebing
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Potensi Tsunami
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,tangga darurat
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,reruntuhan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Harta
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,petugas keamanan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,gempa bumi susulan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,pohon
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Titik Pusat Gempa Bumi
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,bangunan
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,meja yang kuat
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Parameter Gempa Bumi
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,BMKG
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,bantal
Dokumen,Gempa_Bumi.pdf,MEMBAHAS,Entitas,Gempa Bumi
Entitas,Fondasi,MEMBUTUHKAN,Entitas,Bangunan
Entitas,petugas berwenang,MEMERINTAHKAN,Entitas,ikuti instruksi
Entitas,foto,MELIBATKAN,Entitas,dokumen
Entitas,foto,MELIBATKAN,Entitas,mendokumentasikan harta
Entitas,kebakaran,MENCEGAH,Entitas,peralatan yang menggunakan listrik
Entitas,lift,MENGHARUSKAN,Entitas,tidak digunakan
Entitas,pintu,BERDAMPAK_PADA,Entitas,kepala
Entitas,elevator,MENGHARUSKAN,Entitas,tekan semua tombol
Entitas,helm,BERDAMPAK_PADA,Entitas,kepala
Entitas,jendela kaca,BERDAMPAK_PADA,Entitas,benda-benda yang mungkin jatuh
Entitas,Pemerintah,MENGHURATKAN,Entitas,Aturan Penggunaan Lahan
Entitas,api,BERDAMPAK_PADA,Entitas,rumah
Entitas,api,BERDAMPAK_PADA,Entitas,hutan
Entitas,pengelola bangunan,MENGHARUSKAN,Entitas,panggilan
Entitas,Bangunan,MEMBUTUHKAN,Entitas,Renovasi
Entitas,gedung,BERDAMPAK_PADA,Entitas,roboh
Entitas,gedung,BERDAMPAK_PADA,Entitas,hindari berada di tempat terbuka
Entitas,meja,BERDAMPAK_PADA,Entitas,benda-benda yang mungkin jatuh
Entitas,tsunami,MEMBUTUHKAN,Entitas,evakuasi
Entitas,tebing,BERDAMPAK_PADA,Entitas,hindari daerah yang rawan longsor
Entitas,tangga darurat,MENGHARUSKAN,Entitas,evakuasi
Entitas,Harta,MENGELOLA,Entitas,Kepemilikan
Entitas,petugas keamanan,IKUTI,Entitas,instruksi evakuasi
Entitas,gempa bumi susulan,BERDAMPAK_PADA,Entitas,tetap waspada
Entitas,pohon,BERDAMPAK_PADA,Entitas,langit terbuka
Entitas,pohon,MENDERITAKAN_PADA,Entitas,longsor
Entitas,bangunan,TERJADI_DI,Entitas,sudut bangunan
Entitas,BMKG,MENYEBUT,Entitas,Informasi Gempa Bumi
Entitas,bantal,BERDAMPAK_PADA,Entitas,kepala
Entitas,Gempa Bumi,TERJADI_DI,Entitas,Daerah Rawan Gempa Bumi
Entitas,Gempa Bumi,MENCIPTA,Entitas,Kerusakan
Entitas,Gempa Bumi,MENGHANCURKAN,Entitas,Jalan
Entitas,Gempa Bumi,MENGHANCURKAN,Entitas,Jembatan
Entitas,Gempa Bumi,MENGHANCURKAN,Entitas,Bangunan
Entitas,Informasi Gempa Bumi,MELIBATKAN,Entitas,Kedalaman Gempa
